Vehicle ID,Country,Make,Model,Year,Mileage,Fuel,Gear Type,Horsepower,Price,Currency,Preowned,Inserted Date,Summary
V4035,Faroe Islands,Tata Motors,Hatchback,2017,18 kmpl,EV,Automatic,93,1086,Euro,Yes,2023-11-25,"Country: Faroe Islands, Make: Tata Motors, Model: Hatchback, Year: 2017, Mileage: 18 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 93, Price: 1086 Euro, Preowned: Yes, Inserted: 2023-11-25"
V4036,Yemen,Toyota,Sedan,2010,20 kmpl,Diesel,Manual,146,4250,Euro,No,2023-04-16,"Country: Yemen, Make: Toyota, Model: Sedan, Year: 2010, Mileage: 20 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 146, Price: 4250 Euro, Preowned: No, Inserted: 2023-04-16"
V4037,Montserrat,Maruti Suzuki,SUV,2021,20 kmpl,Petrol,Manual,210,4856,Euro,No,2025-03-02,"Country: Montserrat, Make: Maruti Suzuki, Model: SUV, Year: 2021, Mileage: 20 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 210, Price: 4856 Euro, Preowned: No, Inserted: 2025-03-02"
V4038,Malta,Hyundai,Hatchback,2019,23 kmpl,Petrol,Manual,209,3486,Euro,No,2025-05-18,"Country: Malta, Make: Hyundai, Model: Hatchback, Year: 2019, Mileage: 23 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 209, Price: 3486 Euro, Preowned: No, Inserted: 2025-05-18"
V4039,Costa Rica,Tata Motors,Hatchback,2024,25 kmpl,EV,Automatic,176,4074,Euro,No,2022-05-31,"Country: Costa Rica, Make: Tata Motors, Model: Hatchback, Year: 2024, Mileage: 25 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 176, Price: 4074 Euro, Preowned: No, Inserted: 2022-05-31"
V4040,Bahamas,Honda,Sedan,2024,24 kmpl,Diesel,Automatic,175,1564,Euro,No,2024-08-20,"Country: Bahamas, Make: Honda, Model: Sedan, Year: 2024, Mileage: 24 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 175, Price: 1564 Euro, Preowned: No, Inserted: 2024-08-20"
V4041,Nigeria,Hyundai,Hatchback,2024,24 kmpl,Petrol,Automatic,141,2637,USD,No,2025-04-28,"Country: Nigeria, Make: Hyundai, Model: Hatchback, Year: 2024, Mileage: 24 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 141, Price: 2637 USD, Preowned: No, Inserted: 2025-04-28"
V4042,Chad,Tata Motors,SUV,2014,19 kmpl,Diesel,Manual,210,2380,USD,Yes,2023-11-26,"Country: Chad, Make: Tata Motors, Model: SUV, Year: 2014, Mileage: 19 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 210, Price: 2380 USD, Preowned: Yes, Inserted: 2023-11-26"
V4043,Argentina,Maruti Suzuki,SUV,2018,17 kmpl,Diesel,Manual,183,3429,USD,No,2025-04-17,"Country: Argentina, Make: Maruti Suzuki, Model: SUV, Year: 2018, Mileage: 17 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 183, Price: 3429 USD, Preowned: No, Inserted: 2025-04-17"
V4044,Spain,Mahindra,SUV,2015,21 kmpl,Diesel,Automatic,218,3574,Euro,Yes,2024-02-26,"Country: Spain, Make: Mahindra, Model: SUV, Year: 2015, Mileage: 21 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 218, Price: 3574 Euro, Preowned: Yes, Inserted: 2024-02-26"
V4045,Aruba,Toyota,SUV,2016,18 kmpl,EV,Automatic,160,3849,Euro,Yes,2023-10-21,"Country: Aruba, Make: Toyota, Model: SUV, Year: 2016, Mileage: 18 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 160, Price: 3849 Euro, Preowned: Yes, Inserted: 2023-10-21"
V4046,Solomon Islands,Hyundai,Hatchback,2014,24 kmpl,Diesel,Manual,177,3990,USD,No,2024-08-13,"Country: Solomon Islands, Make: Hyundai, Model: Hatchback, Year: 2014, Mileage: 24 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 177, Price: 3990 USD, Preowned: No, Inserted: 2024-08-13"
V4047,Japan,Toyota,SUV,2021,18 kmpl,EV,Manual,147,3722,Euro,Yes,2025-07-19,"Country: Japan, Make: Toyota, Model: SUV, Year: 2021, Mileage: 18 kmpl, Fuel: EV, Gear: Manual, Horsepower: 147, Price: 3722 Euro, Preowned: Yes, Inserted: 2025-07-19"
V4048,Heard Island and McDonald Islands,Mahindra,Hatchback,2011,19 kmpl,EV,Manual,188,1976,USD,Yes,2022-09-13,"Country: Heard Island and McDonald Islands, Make: Mahindra, Model: Hatchback, Year: 2011, Mileage: 19 kmpl, Fuel: EV, Gear: Manual, Horsepower: 188, Price: 1976 USD, Preowned: Yes, Inserted: 2022-09-13"
V4049,Samoa,Toyota,Hatchback,2013,17 kmpl,Petrol,Automatic,116,4756,USD,No,2022-05-19,"Country: Samoa, Make: Toyota, Model: Hatchback, Year: 2013, Mileage: 17 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 116, Price: 4756 USD, Preowned: No, Inserted: 2022-05-19"
V4050,Guinea,Hyundai,SUV,2016,25 kmpl,Petrol,Automatic,121,1779,Euro,No,2025-04-07,"Country: Guinea, Make: Hyundai, Model: SUV, Year: 2016, Mileage: 25 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 121, Price: 1779 Euro, Preowned: No, Inserted: 2025-04-07"
V4051,Solomon Islands,Volkswagen,Sedan,2020,19 kmpl,Diesel,Manual,184,4026,USD,No,2025-06-20,"Country: Solomon Islands, Make: Volkswagen, Model: Sedan, Year: 2020, Mileage: 19 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 184, Price: 4026 USD, Preowned: No, Inserted: 2025-06-20"
V4052,India,Maruti Suzuki,SUV,2010,25 kmpl,Diesel,Automatic,138,2910,USD,No,2024-07-19,"Country: India, Make: Maruti Suzuki, Model: SUV, Year: 2010, Mileage: 25 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 138, Price: 2910 USD, Preowned: No, Inserted: 2024-07-19"
V4053,Saint Helena,Toyota,Hatchback,2021,20 kmpl,Petrol,Manual,120,1000,USD,No,2023-04-06,"Country: Saint Helena, Make: Toyota, Model: Hatchback, Year: 2021, Mileage: 20 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 120, Price: 1000 USD, Preowned: No, Inserted: 2023-04-06"
V4054,Suriname,Hyundai,SUV,2011,20 kmpl,EV,Manual,204,2691,USD,Yes,2022-11-06,"Country: Suriname, Make: Hyundai, Model: SUV, Year: 2011, Mileage: 20 kmpl, Fuel: EV, Gear: Manual, Horsepower: 204, Price: 2691 USD, Preowned: Yes, Inserted: 2022-11-06"
V4055,Italy,Hyundai,SUV,2011,17 kmpl,Petrol,Manual,94,3637,Euro,No,2023-10-14,"Country: Italy, Make: Hyundai, Model: SUV, Year: 2011, Mileage: 17 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 94, Price: 3637 Euro, Preowned: No, Inserted: 2023-10-14"
V4056,Taiwan,Toyota,Sedan,2024,18 kmpl,Diesel,Automatic,158,1231,USD,Yes,2022-01-10,"Country: Taiwan, Make: Toyota, Model: Sedan, Year: 2024, Mileage: 18 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 158, Price: 1231 USD, Preowned: Yes, Inserted: 2022-01-10"
V4057,Guadeloupe,Toyota,Hatchback,2015,18 kmpl,Diesel,Manual,206,2840,Euro,Yes,2024-09-03,"Country: Guadeloupe, Make: Toyota, Model: Hatchback, Year: 2015, Mileage: 18 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 206, Price: 2840 Euro, Preowned: Yes, Inserted: 2024-09-03"
V4058,Niger,Honda,SUV,2013,18 kmpl,Petrol,Automatic,116,4483,Euro,No,2022-09-06,"Country: Niger, Make: Honda, Model: SUV, Year: 2013, Mileage: 18 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 116, Price: 4483 Euro, Preowned: No, Inserted: 2022-09-06"
V4059,Reunion,Maruti Suzuki,SUV,2017,21 kmpl,Diesel,Manual,139,2224,Euro,No,2022-07-02,"Country: Reunion, Make: Maruti Suzuki, Model: SUV, Year: 2017, Mileage: 21 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 139, Price: 2224 Euro, Preowned: No, Inserted: 2022-07-02"
V4060,Bosnia and Herzegovina,Honda,Sedan,2018,19 kmpl,Petrol,Automatic,128,1556,USD,Yes,2024-01-16,"Country: Bosnia and Herzegovina, Make: Honda, Model: Sedan, Year: 2018, Mileage: 19 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 128, Price: 1556 USD, Preowned: Yes, Inserted: 2024-01-16"
V4061,Myanmar,Tata Motors,Sedan,2015,20 kmpl,Diesel,Manual,207,1736,USD,No,2024-05-05,"Country: Myanmar, Make: Tata Motors, Model: Sedan, Year: 2015, Mileage: 20 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 207, Price: 1736 USD, Preowned: No, Inserted: 2024-05-05"
V4062,Cyprus,Tata Motors,Hatchback,2024,17 kmpl,Petrol,Manual,150,1803,USD,No,2023-08-07,"Country: Cyprus, Make: Tata Motors, Model: Hatchback, Year: 2024, Mileage: 17 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 150, Price: 1803 USD, Preowned: No, Inserted: 2023-08-07"
V4063,Japan,Tata Motors,Sedan,2022,22 kmpl,Diesel,Manual,84,4105,Euro,Yes,2024-04-16,"Country: Japan, Make: Tata Motors, Model: Sedan, Year: 2022, Mileage: 22 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 84, Price: 4105 Euro, Preowned: Yes, Inserted: 2024-04-16"
V4064,Bangladesh,Maruti Suzuki,Hatchback,2022,20 kmpl,EV,Manual,82,1699,USD,No,2023-02-08,"Country: Bangladesh, Make: Maruti Suzuki, Model: Hatchback, Year: 2022, Mileage: 20 kmpl, Fuel: EV, Gear: Manual, Horsepower: 82, Price: 1699 USD, Preowned: No, Inserted: 2023-02-08"
V4065,Wallis and Futuna,Maruti Suzuki,SUV,2023,24 kmpl,Petrol,Automatic,185,3079,Euro,No,2024-03-03,"Country: Wallis and Futuna, Make: Maruti Suzuki, Model: SUV, Year: 2023, Mileage: 24 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 185, Price: 3079 Euro, Preowned: No, Inserted: 2024-03-03"
V4066,Korea,Volkswagen,SUV,2010,17 kmpl,Petrol,Automatic,108,4985,Euro,Yes,2023-05-02,"Country: Korea, Make: Volkswagen, Model: SUV, Year: 2010, Mileage: 17 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 108, Price: 4985 Euro, Preowned: Yes, Inserted: 2023-05-02"
V4067,Puerto Rico,Hyundai,Hatchback,2010,17 kmpl,Diesel,Manual,115,2054,Euro,No,2025-06-16,"Country: Puerto Rico, Make: Hyundai, Model: Hatchback, Year: 2010, Mileage: 17 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 115, Price: 2054 Euro, Preowned: No, Inserted: 2025-06-16"
V4068,Senegal,Hyundai,Sedan,2025,24 kmpl,EV,Automatic,131,4460,Euro,No,2023-10-30,"Country: Senegal, Make: Hyundai, Model: Sedan, Year: 2025, Mileage: 24 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 131, Price: 4460 Euro, Preowned: No, Inserted: 2023-10-30"
V4069,Eritrea,Maruti Suzuki,Sedan,2023,19 kmpl,EV,Manual,95,3950,USD,No,2022-02-23,"Country: Eritrea, Make: Maruti Suzuki, Model: Sedan, Year: 2023, Mileage: 19 kmpl, Fuel: EV, Gear: Manual, Horsepower: 95, Price: 3950 USD, Preowned: No, Inserted: 2022-02-23"
V4070,Grenada,Hyundai,Hatchback,2024,19 kmpl,Diesel,Manual,114,1656,Euro,No,2024-04-13,"Country: Grenada, Make: Hyundai, Model: Hatchback, Year: 2024, Mileage: 19 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 114, Price: 1656 Euro, Preowned: No, Inserted: 2024-04-13"
V4071,Namibia,Hyundai,Hatchback,2022,24 kmpl,Diesel,Manual,129,2123,USD,No,2024-05-09,"Country: Namibia, Make: Hyundai, Model: Hatchback, Year: 2022, Mileage: 24 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 129, Price: 2123 USD, Preowned: No, Inserted: 2024-05-09"
V4072,China,Volkswagen,Sedan,2020,23 kmpl,Diesel,Manual,102,3942,Euro,No,2023-05-10,"Country: China, Make: Volkswagen, Model: Sedan, Year: 2020, Mileage: 23 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 102, Price: 3942 Euro, Preowned: No, Inserted: 2023-05-10"
V4073,Tunisia,Hyundai,Hatchback,2014,24 kmpl,EV,Manual,98,2913,USD,No,2024-05-05,"Country: Tunisia, Make: Hyundai, Model: Hatchback, Year: 2014, Mileage: 24 kmpl, Fuel: EV, Gear: Manual, Horsepower: 98, Price: 2913 USD, Preowned: No, Inserted: 2024-05-05"
V4074,Palau,Honda,Hatchback,2010,17 kmpl,Petrol,Automatic,220,4583,USD,No,2022-07-29,"Country: Palau, Make: Honda, Model: Hatchback, Year: 2010, Mileage: 17 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 220, Price: 4583 USD, Preowned: No, Inserted: 2022-07-29"
V4075,Afghanistan,Honda,SUV,2015,18 kmpl,Petrol,Automatic,189,4916,USD,Yes,2023-03-20,"Country: Afghanistan, Make: Honda, Model: SUV, Year: 2015, Mileage: 18 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 189, Price: 4916 USD, Preowned: Yes, Inserted: 2023-03-20"
V4076,Niue,Toyota,Sedan,2025,24 kmpl,Petrol,Manual,90,1174,Euro,No,2023-02-21,"Country: Niue, Make: Toyota, Model: Sedan, Year: 2025, Mileage: 24 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 90, Price: 1174 Euro, Preowned: No, Inserted: 2023-02-21"
V4077,Vanuatu,Toyota,Hatchback,2016,19 kmpl,Diesel,Manual,169,3610,Euro,Yes,2024-01-09,"Country: Vanuatu, Make: Toyota, Model: Hatchback, Year: 2016, Mileage: 19 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 169, Price: 3610 Euro, Preowned: Yes, Inserted: 2024-01-09"
V4078,Thailand,Honda,Hatchback,2023,17 kmpl,EV,Automatic,136,3302,USD,No,2023-02-26,"Country: Thailand, Make: Honda, Model: Hatchback, Year: 2023, Mileage: 17 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 136, Price: 3302 USD, Preowned: No, Inserted: 2023-02-26"
V4079,Thailand,Mahindra,Hatchback,2023,20 kmpl,EV,Manual,171,2006,USD,No,2023-06-01,"Country: Thailand, Make: Mahindra, Model: Hatchback, Year: 2023, Mileage: 20 kmpl, Fuel: EV, Gear: Manual, Horsepower: 171, Price: 2006 USD, Preowned: No, Inserted: 2023-06-01"
V4080,Jersey,Honda,Hatchback,2024,22 kmpl,EV,Automatic,200,3679,USD,No,2025-01-28,"Country: Jersey, Make: Honda, Model: Hatchback, Year: 2024, Mileage: 22 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 200, Price: 3679 USD, Preowned: No, Inserted: 2025-01-28"
V4081,Botswana,Toyota,SUV,2010,19 kmpl,Petrol,Manual,123,2519,Euro,No,2025-04-16,"Country: Botswana, Make: Toyota, Model: SUV, Year: 2010, Mileage: 19 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 123, Price: 2519 Euro, Preowned: No, Inserted: 2025-04-16"
V4082,Senegal,Tata Motors,Sedan,2011,20 kmpl,Diesel,Manual,177,1317,USD,No,2023-02-06,"Country: Senegal, Make: Tata Motors, Model: Sedan, Year: 2011, Mileage: 20 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 177, Price: 1317 USD, Preowned: No, Inserted: 2023-02-06"
V4083,Bolivia,Maruti Suzuki,Hatchback,2025,21 kmpl,Diesel,Automatic,101,2646,USD,Yes,2023-11-17,"Country: Bolivia, Make: Maruti Suzuki, Model: Hatchback, Year: 2025, Mileage: 21 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 101, Price: 2646 USD, Preowned: Yes, Inserted: 2023-11-17"
