Contract ID,Customer ID,Existing Customer,Vehicle ID,Product ID,Price,Monthly EMI,Lease Start Date,Lease Expiry Date,Road Assistance,Maintenance,Discount Applied,Preferred Customer,Summary
C0011,1014,No,V1076,P1016,531200.0,23650.44,2025-07-13T00:00:00Z,2027-07-13T00:00:00Z,No,Yes,No,No,"Contract C0011 for 1014 leasing Vehicle V1076 under Product P1016 with a monthly EMI of €23650.44. Lease runs from 2025-07-13 to 2027-07-13. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0012,1009,Yes,V1008,P1007,2751240.0,65243.67,2022-11-23T00:00:00Z,2026-11-23T00:00:00Z,No,Yes,No,Yes,"Contract C0012 for 1009 leasing Vehicle V1008 under Product P1007 with a monthly EMI of €65243.67. Lease runs from 2022-11-23 to 2026-11-23. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0013,1004,No,V1021,P1015,5535.15,496.35,2024-10-21T00:00:00Z,2025-10-21T00:00:00Z,Yes,Yes,No,No,"Contract C0013 for 1004 leasing Vehicle V1021 under Product P1015 with a monthly EMI of €496.35. Lease runs from 2024-10-21 to 2025-10-21. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0014,1016,No,V1067,P1012,1432220.0,67211.82,2022-09-15T00:00:00Z,2024-09-15T00:00:00Z,Yes,Yes,No,No,"Contract C0014 for 1016 leasing Vehicle V1067 under Product P1012 with a monthly EMI of €67211.82. Lease runs from 2022-09-15 to 2024-09-15. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0015,1001,Yes,V1009,P1008,940345.0,27461.4,2023-06-16T00:00:00Z,2026-06-16T00:00:00Z,No,Yes,Yes,Yes,"Contract C0015 for 1001 leasing Vehicle V1009 under Product P1008 with a monthly EMI of €27461.4. Lease runs from 2023-06-16 to 2026-06-16. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0016,1009,Yes,V1071,P1004,8087.849999999999,719.65,2023-04-26T00:00:00Z,2024-04-26T00:00:00Z,Yes,Yes,Yes,Yes,"Contract C0016 for 1009 leasing Vehicle V1071 under Product P1004 with a monthly EMI of €719.65. Lease runs from 2023-04-26 to 2024-04-26. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0017,1005,Yes,V1029,P1011,1450540.0,43329.21,2025-06-19T00:00:00Z,2028-06-19T00:00:00Z,No,Yes,No,Yes,"Contract C0017 for 1005 leasing Vehicle V1029 under Product P1011 with a monthly EMI of €43329.21. Lease runs from 2025-06-19 to 2028-06-19. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0018,1005,Yes,V1010,P1003,1766120.0,40579.31,2024-02-02T00:00:00Z,2028-02-02T00:00:00Z,No,Yes,No,Yes,"Contract C0018 for 1005 leasing Vehicle V1010 under Product P1003 with a monthly EMI of €40579.31. Lease runs from 2024-02-02 to 2028-02-02. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0019,1011,No,V1011,P1010,1476895.0,43942.93,2022-10-01T00:00:00Z,2025-10-01T00:00:00Z,No,Yes,No,No,"Contract C0019 for 1011 leasing Vehicle V1011 under Product P1010 with a monthly EMI of €43942.93. Lease runs from 2022-10-01 to 2025-10-01. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0020,1017,No,V1050,P1007,2737840.0,62218.17,2023-10-25T00:00:00Z,2027-10-25T00:00:00Z,No,Yes,No,No,"Contract C0020 for 1017 leasing Vehicle V1050 under Product P1007 with a monthly EMI of €62218.17. Lease runs from 2023-10-25 to 2027-10-25. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0021,1013,Yes,V1036,P1000,1968760.0,46036.33,2024-08-02T00:00:00Z,2028-08-02T00:00:00Z,No,Yes,Yes,Yes,"Contract C0021 for 1013 leasing Vehicle V1036 under Product P1000 with a monthly EMI of €46036.33. Lease runs from 2024-08-02 to 2028-08-02. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0022,1019,No,V1004,P1006,958790.0,29186.29,2024-12-18T00:00:00Z,2027-12-18T00:00:00Z,No,Yes,No,No,"Contract C0022 for 1019 leasing Vehicle V1004 under Product P1006 with a monthly EMI of €29186.29. Lease runs from 2024-12-18 to 2027-12-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0023,1015,No,V1039,P1011,2357565.0,73110.11,2023-01-08T00:00:00Z,2026-01-08T00:00:00Z,No,Yes,No,No,"Contract C0023 for 1015 leasing Vehicle V1039 under Product P1011 with a monthly EMI of €73110.11. Lease runs from 2023-01-08 to 2026-01-08. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0024,1020,Yes,V1041,P1008,2682015.0,80533.27,2025-08-23T00:00:00Z,2028-08-23T00:00:00Z,No,Yes,No,Yes,"Contract C0024 for 1020 leasing Vehicle V1041 under Product P1008 with a monthly EMI of €80533.27. Lease runs from 2025-08-23 to 2028-08-23. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0025,1010,No,V1072,P1011,2243255.0,67391.16,2024-03-10T00:00:00Z,2027-03-10T00:00:00Z,No,Yes,No,No,"Contract C0025 for 1010 leasing Vehicle V1072 under Product P1011 with a monthly EMI of €67391.16. Lease runs from 2024-03-10 to 2027-03-10. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0026,1002,No,V1069,P1010,1308545.0,41533.41,2023-03-02T00:00:00Z,2026-03-02T00:00:00Z,No,Yes,No,No,"Contract C0026 for 1002 leasing Vehicle V1069 under Product P1010 with a monthly EMI of €41533.41. Lease runs from 2023-03-02 to 2026-03-02. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0027,1003,No,V1053,P1009,6015.3,559.03,2025-01-13T00:00:00Z,2026-01-13T00:00:00Z,Yes,Yes,No,No,"Contract C0027 for 1003 leasing Vehicle V1053 under Product P1009 with a monthly EMI of €559.03. Lease runs from 2025-01-13 to 2026-01-13. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0028,1005,Yes,V1057,P1003,2033560.0,45937.02,2025-07-21T00:00:00Z,2029-07-21T00:00:00Z,No,Yes,No,Yes,"Contract C0028 for 1005 leasing Vehicle V1057 under Product P1003 with a monthly EMI of €45937.02. Lease runs from 2025-07-21 to 2029-07-21. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0029,1008,Yes,V1015,P1019,1658195.0,48917.07,2022-10-11T00:00:00Z,2025-10-11T00:00:00Z,No,Yes,Yes,Yes,"Contract C0029 for 1008 leasing Vehicle V1015 under Product P1019 with a monthly EMI of €48917.07. Lease runs from 2022-10-11 to 2025-10-11. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0030,1016,Yes,V1056,P1004,11355.15,1042.32,2025-07-12T00:00:00Z,2026-07-12T00:00:00Z,Yes,Yes,No,Yes,"Contract C0030 for 1016 leasing Vehicle V1056 under Product P1004 with a monthly EMI of €1042.32. Lease runs from 2025-07-12 to 2026-07-12. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0031,1005,Yes,V1014,P1010,1060080.0,31055.76,2025-02-16T00:00:00Z,2028-02-16T00:00:00Z,No,Yes,Yes,Yes,"Contract C0031 for 1005 leasing Vehicle V1014 under Product P1010 with a monthly EMI of €31055.76. Lease runs from 2025-02-16 to 2028-02-16. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0032,1019,Yes,V1024,P1004,10628.85,1006.16,2024-02-09T00:00:00Z,2025-02-09T00:00:00Z,Yes,Yes,Yes,Yes,"Contract C0032 for 1019 leasing Vehicle V1024 under Product P1004 with a monthly EMI of €1006.16. Lease runs from 2024-02-09 to 2025-02-09. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0033,1005,Yes,V1018,P1007,1859200.0,42797.74,2023-08-29T00:00:00Z,2027-08-29T00:00:00Z,No,Yes,No,Yes,"Contract C0033 for 1005 leasing Vehicle V1018 under Product P1007 with a monthly EMI of €42797.74. Lease runs from 2023-08-29 to 2027-08-29. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0034,1013,Yes,V1037,P1013,1838655.0,55686.34,2023-02-18T00:00:00Z,2026-02-18T00:00:00Z,No,Yes,No,Yes,"Contract C0034 for 1013 leasing Vehicle V1037 under Product P1013 with a monthly EMI of €55686.34. Lease runs from 2023-02-18 to 2026-02-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0035,1010,Yes,V1069,P1019,1308545.0,39188.46,2022-11-02T00:00:00Z,2025-11-02T00:00:00Z,No,Yes,Yes,Yes,"Contract C0035 for 1010 leasing Vehicle V1069 under Product P1019 with a monthly EMI of €39188.46. Lease runs from 2022-11-02 to 2025-11-02. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0036,1011,Yes,V1041,P1013,2682015.0,82035.24,2024-07-15T00:00:00Z,2027-07-15T00:00:00Z,No,Yes,Yes,Yes,"Contract C0036 for 1011 leasing Vehicle V1041 under Product P1013 with a monthly EMI of €82035.24. Lease runs from 2024-07-15 to 2027-07-15. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0037,1018,No,V1038,P1017,2622585.0,77745.57,2024-10-04T00:00:00Z,2027-10-04T00:00:00Z,No,Yes,No,No,"Contract C0037 for 1018 leasing Vehicle V1038 under Product P1017 with a monthly EMI of €77745.57. Lease runs from 2024-10-04 to 2027-10-04. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0038,1018,Yes,V1011,P1003,1687880.0,40044.57,2023-08-02T00:00:00Z,2027-08-02T00:00:00Z,No,Yes,Yes,Yes,"Contract C0038 for 1018 leasing Vehicle V1011 under Product P1003 with a monthly EMI of €40044.57. Lease runs from 2023-08-02 to 2027-08-02. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0039,1008,Yes,V1013,P1006,2133600.0,66068.86,2024-07-26T00:00:00Z,2027-07-26T00:00:00Z,No,Yes,Yes,Yes,"Contract C0039 for 1008 leasing Vehicle V1013 under Product P1006 with a monthly EMI of €66068.86. Lease runs from 2024-07-26 to 2027-07-26. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0040,1009,Yes,V1014,P1002,4543.2,410.51,2024-07-21T00:00:00Z,2025-07-21T00:00:00Z,Yes,Yes,No,Yes,"Contract C0040 for 1009 leasing Vehicle V1014 under Product P1002 with a monthly EMI of €410.51. Lease runs from 2024-07-21 to 2025-07-21. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0041,1017,Yes,V1053,P1007,1604080.0,35630.61,2025-06-27T00:00:00Z,2029-06-27T00:00:00Z,No,Yes,No,Yes,"Contract C0041 for 1017 leasing Vehicle V1053 under Product P1007 with a monthly EMI of €35630.61. Lease runs from 2025-06-27 to 2029-06-27. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0042,1006,Yes,V1010,P1015,6622.95,584.83,2024-04-22T00:00:00Z,2025-04-22T00:00:00Z,Yes,Yes,No,Yes,"Contract C0042 for 1006 leasing Vehicle V1010 under Product P1015 with a monthly EMI of €584.83. Lease runs from 2024-04-22 to 2025-04-22. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0043,1014,Yes,V1069,P1004,5608.05,510.46,2025-08-02T00:00:00Z,2026-08-02T00:00:00Z,Yes,Yes,Yes,Yes,"Contract C0043 for 1014 leasing Vehicle V1069 under Product P1004 with a monthly EMI of €510.46. Lease runs from 2025-08-02 to 2026-08-02. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0044,1012,No,V1047,P1018,2514715.0,76938.07,2024-04-13T00:00:00Z,2027-04-13T00:00:00Z,No,Yes,No,No,"Contract C0044 for 1012 leasing Vehicle V1047 under Product P1018 with a monthly EMI of €76938.07. Lease runs from 2024-04-13 to 2027-04-13. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0045,1011,Yes,V1027,P1009,5034.75,461.31,2024-08-11T00:00:00Z,2025-08-11T00:00:00Z,Yes,Yes,No,Yes,"Contract C0045 for 1011 leasing Vehicle V1027 under Product P1009 with a monthly EMI of €461.31. Lease runs from 2024-08-11 to 2025-08-11. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0046,1006,Yes,V1043,P1000,2684880.0,64085.54,2023-04-10T00:00:00Z,2027-04-10T00:00:00Z,No,Yes,Yes,Yes,"Contract C0046 for 1006 leasing Vehicle V1043 under Product P1000 with a monthly EMI of €64085.54. Lease runs from 2023-04-10 to 2027-04-10. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0047,1005,Yes,V1071,P1014,1078380.0,51589.85,2024-07-28T00:00:00Z,2026-07-28T00:00:00Z,No,Yes,No,Yes,"Contract C0047 for 1005 leasing Vehicle V1071 under Product P1014 with a monthly EMI of €51589.85. Lease runs from 2024-07-28 to 2026-07-28. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0048,1009,Yes,V1078,P1016,689860.0,31734.81,2025-07-12T00:00:00Z,2027-07-12T00:00:00Z,No,Yes,No,Yes,"Contract C0048 for 1009 leasing Vehicle V1078 under Product P1016 with a monthly EMI of €31734.81. Lease runs from 2025-07-12 to 2027-07-12. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0049,1005,Yes,V1052,P1004,6736.2,632.02,2024-11-30T00:00:00Z,2025-11-30T00:00:00Z,Yes,Yes,No,Yes,"Contract C0049 for 1005 leasing Vehicle V1052 under Product P1004 with a monthly EMI of €632.02. Lease runs from 2024-11-30 to 2025-11-30. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0050,1006,Yes,V1044,P1001,9505.65,864.61,2023-11-27T00:00:00Z,2024-11-27T00:00:00Z,No,Yes,No,Yes,"Contract C0050 for 1006 leasing Vehicle V1044 under Product P1001 with a monthly EMI of €864.61. Lease runs from 2023-11-27 to 2024-11-27. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0051,1013,Yes,V1058,P1001,4880.7,449.82,2024-08-08T00:00:00Z,2025-08-08T00:00:00Z,No,Yes,Yes,Yes,"Contract C0051 for 1013 leasing Vehicle V1058 under Product P1001 with a monthly EMI of €449.82. Lease runs from 2024-08-08 to 2025-08-08. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0052,1017,Yes,V1072,P1002,9613.949999999999,904.94,2022-09-15T00:00:00Z,2023-09-15T00:00:00Z,Yes,Yes,No,Yes,"Contract C0052 for 1017 leasing Vehicle V1072 under Product P1002 with a monthly EMI of €904.94. Lease runs from 2022-09-15 to 2023-09-15. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0053,1007,No,V1056,P1017,2649535.0,80168.32,2023-10-29T00:00:00Z,2026-10-29T00:00:00Z,No,Yes,No,No,"Contract C0053 for 1007 leasing Vehicle V1056 under Product P1017 with a monthly EMI of €80168.32. Lease runs from 2023-10-29 to 2026-10-29. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0054,1013,Yes,V1001,P1009,10886.55,980.09,2023-07-27T00:00:00Z,2024-07-27T00:00:00Z,Yes,Yes,Yes,Yes,"Contract C0054 for 1013 leasing Vehicle V1001 under Product P1009 with a monthly EMI of €980.09. Lease runs from 2023-07-27 to 2024-07-27. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0055,1008,Yes,V1009,P1009,4030.0499999999997,368.62,2023-07-30T00:00:00Z,2024-07-30T00:00:00Z,Yes,Yes,No,Yes,"Contract C0055 for 1008 leasing Vehicle V1009 under Product P1009 with a monthly EMI of €368.62. Lease runs from 2023-07-30 to 2024-07-30. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0056,1011,Yes,V1018,P1007,1859200.0,43033.43,2022-08-30T00:00:00Z,2026-08-30T00:00:00Z,No,Yes,No,Yes,"Contract C0056 for 1011 leasing Vehicle V1018 under Product P1007 with a monthly EMI of €43033.43. Lease runs from 2022-08-30 to 2026-08-30. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0057,1005,Yes,V1057,P1005,2033560.0,46517.13,2025-03-07T00:00:00Z,2029-03-07T00:00:00Z,No,Yes,No,Yes,"Contract C0057 for 1005 leasing Vehicle V1057 under Product P1005 with a monthly EMI of €46517.13. Lease runs from 2025-03-07 to 2029-03-07. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0058,1013,Yes,V1052,P1007,1796320.0,40040.2,2022-11-28T00:00:00Z,2026-11-28T00:00:00Z,No,Yes,No,Yes,"Contract C0058 for 1013 leasing Vehicle V1052 under Product P1007 with a monthly EMI of €40040.2. Lease runs from 2022-11-28 to 2026-11-28. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0059,1017,Yes,V1028,P1014,735880.0,33340.33,2025-08-24T00:00:00Z,2027-08-24T00:00:00Z,No,Yes,No,Yes,"Contract C0059 for 1017 leasing Vehicle V1028 under Product P1014 with a monthly EMI of €33340.33. Lease runs from 2025-08-24 to 2027-08-24. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0060,1008,Yes,V1023,P1010,2219070.0,66757.46,2022-12-26T00:00:00Z,2025-12-26T00:00:00Z,No,Yes,No,Yes,"Contract C0060 for 1008 leasing Vehicle V1023 under Product P1010 with a monthly EMI of €66757.46. Lease runs from 2022-12-26 to 2025-12-26. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0061,1020,Yes,V1003,P1019,1741320.0,54483.0,2022-08-30T00:00:00Z,2025-08-30T00:00:00Z,No,Yes,Yes,Yes,"Contract C0061 for 1020 leasing Vehicle V1003 under Product P1019 with a monthly EMI of €54483.0. Lease runs from 2022-08-30 to 2025-08-30. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0062,1017,Yes,V1040,P1010,1468320.0,44812.39,2023-08-16T00:00:00Z,2026-08-16T00:00:00Z,No,Yes,No,Yes,"Contract C0062 for 1017 leasing Vehicle V1040 under Product P1010 with a monthly EMI of €44812.39. Lease runs from 2023-08-16 to 2026-08-16. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0063,1004,Yes,V1012,P1007,1697840.0,40129.16,2023-12-24T00:00:00Z,2027-12-24T00:00:00Z,No,Yes,No,Yes,"Contract C0063 for 1004 leasing Vehicle V1012 under Product P1007 with a monthly EMI of €40129.16. Lease runs from 2023-12-24 to 2027-12-24. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0064,1017,Yes,V1076,P1012,531200.0,24270.41,2023-04-20T00:00:00Z,2025-04-20T00:00:00Z,Yes,Yes,No,Yes,"Contract C0064 for 1017 leasing Vehicle V1076 under Product P1012 with a monthly EMI of €24270.41. Lease runs from 2023-04-20 to 2025-04-20. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0065,1019,Yes,V1017,P1018,1771665.0,53633.26,2023-02-01T00:00:00Z,2026-02-01T00:00:00Z,No,Yes,No,Yes,"Contract C0065 for 1019 leasing Vehicle V1017 under Product P1018 with a monthly EMI of €53633.26. Lease runs from 2023-02-01 to 2026-02-01. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0066,1016,Yes,V1008,P1008,2407335.0,72445.03,2022-10-29T00:00:00Z,2025-10-29T00:00:00Z,No,Yes,No,Yes,"Contract C0066 for 1016 leasing Vehicle V1008 under Product P1008 with a monthly EMI of €72445.03. Lease runs from 2022-10-29 to 2025-10-29. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0067,1005,Yes,V1059,P1006,2032240.0,63162.34,2025-01-27T00:00:00Z,2028-01-27T00:00:00Z,No,Yes,No,Yes,"Contract C0067 for 1005 leasing Vehicle V1059 under Product P1006 with a monthly EMI of €63162.34. Lease runs from 2025-01-27 to 2028-01-27. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0068,1011,Yes,V1076,P1004,3984.0,369.5,2024-06-11T00:00:00Z,2025-06-11T00:00:00Z,Yes,Yes,Yes,Yes,"Contract C0068 for 1011 leasing Vehicle V1076 under Product P1004 with a monthly EMI of €369.5. Lease runs from 2024-06-11 to 2025-06-11. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0069,1020,Yes,V1000,P1002,9579.15,896.67,2024-07-14T00:00:00Z,2025-07-14T00:00:00Z,Yes,Yes,No,Yes,"Contract C0069 for 1020 leasing Vehicle V1000 under Product P1002 with a monthly EMI of €896.67. Lease runs from 2024-07-14 to 2025-07-14. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0070,1011,Yes,V1066,P1016,621640.0,29120.19,2024-04-01T00:00:00Z,2026-04-01T00:00:00Z,No,Yes,No,Yes,"Contract C0070 for 1011 leasing Vehicle V1066 under Product P1016 with a monthly EMI of €29120.19. Lease runs from 2024-04-01 to 2026-04-01. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0071,1001,Yes,V1068,P1011,2301250.0,72221.2,2022-12-10T00:00:00Z,2025-12-10T00:00:00Z,No,Yes,No,Yes,"Contract C0071 for 1001 leasing Vehicle V1068 under Product P1011 with a monthly EMI of €72221.2. Lease runs from 2022-12-10 to 2025-12-10. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0072,1014,Yes,V1008,P1017,2407335.0,76290.53,2023-03-26T00:00:00Z,2026-03-26T00:00:00Z,No,Yes,Yes,Yes,"Contract C0072 for 1014 leasing Vehicle V1008 under Product P1017 with a monthly EMI of €76290.53. Lease runs from 2023-03-26 to 2026-03-26. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
C0073,1008,Yes,V1048,P1009,5250.15,463.85,2023-10-11T00:00:00Z,2024-10-11T00:00:00Z,Yes,Yes,No,Yes,"Contract C0073 for 1008 leasing Vehicle V1048 under Product P1009 with a monthly EMI of €463.85. Lease runs from 2023-10-11 to 2024-10-11. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0074,1006,Yes,V1005,P1019,2042495.0,61124.05,2022-12-17T00:00:00Z,2025-12-17T00:00:00Z,No,Yes,No,Yes,"Contract C0074 for 1006 leasing Vehicle V1005 under Product P1019 with a monthly EMI of €61124.05. Lease runs from 2022-12-17 to 2025-12-17. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0075,1015,Yes,V1078,P1015,5173.95,457.09,2025-06-04T00:00:00Z,2026-06-04T00:00:00Z,Yes,Yes,Yes,Yes,"Contract C0075 for 1015 leasing Vehicle V1078 under Product P1015 with a monthly EMI of €457.09. Lease runs from 2025-06-04 to 2026-06-04. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes."
